Port Code,Port Name,Zone ID,Port Country Code
SALALA,SALALAH,Z3,OM
ELSOKH,El Sokhna,Z3,EG
ANTWRP,ANTWERP,Z1,BE
YINGKO,YINGKOU,Z3,CN
KHORFK,KHOR FAKKAN,Z1,AE
KENDAR,"KENDARI, SULAWESI",Z3,ID
HALDIA,HALDIA,Z3,IN
BILBAO,BILBAO,Z2,ES
KAKINA,KAKINADA,Z3,IN
QINHUA,QINHUANGDAO (WITHIN PORT LIMIT),Z2,CN
AMSTDM,AMSTERDAM,Z1,NL
ROTTRD,ROTTERDAM,Z1,NL
NORFLK,NORFOLK,Z2,US
COLOMB,COLOMBO,Z2,LK
ZHENJI,ZHENJIANG,Z2,CN
VILCON,VILA CONSTITUCION,Z3,AR
BUNBUR,BUNBURY,Z3,AU
YOKOHA,YOKOHAMA,Z2,JP
SILVER,SILVERTOWN,Z2,GB
NIIGAT,NIIGATA,Z3,JP
BANGKO,BANGKOK,Z2,TH
JEBELA,JEBEL ALI,Z1,AE
VUNGTA,VUNG TAU,Z3,VN
NANSHA,NANSHA PORT,Z1,CN
QINGDA,QINGDAO (WITHIN PORT LIMIT),Z1,CN
BUSANN,BUSAN,Z1,KR
VANCBC,"VANCOUVER, BRITISH COLUMBIA",Z2,CA
SAGANO,SAGANOSEKI,Z3,JP
CRISTO,CRISTOBAL,Z2,PA
FREMAN,FREMANTLE,Z2,AU
STOCKT,STOCKTON,Z3,US
TENERI,TENERIFE,Z2,ES
NANJIN,NANJING (WITHIN PORT LIMIT),Z1,CN
ROSTOC,ROSTOCK,Z3,DE
YALOVA,YALOVA,Z2,TR
CHENNA,CHENNAI,Z2,IN
DERINC,DERINCE,Z2,TR
MASANN,MASAN,Z2,KR
MUNDRA,MUNDRA,Z3,IN
HAMBUR,HAMBURG,Z1,DE
KWINAN,KWINANA,Z3,AU
CIWAND,CIWANDAN,Z3,ID
ABIDJN,ABIDJAN,Z3,CI
DUNGQT,DUNG QUAT,Z3,VN
HUELVA,HUELVA,Z2,ES
HUANGP,HUANGPU (WITHIN PORT LIMIT),Z2,CN
MOBILE,MOBILE,Z2,US
CALCUT,CALCUTTA,Z3,IN
SHANGH,SHANGHAI (WITHIN PORT LIMIT),Z1,CN
VILANU,VILANUEVA,Z3,PH
DANDON,DANDONG,Z3,CN
MINAZY,MINA ZAYED,Z1,AE
FANGCH,FANGCHENG,Z3,CN
BALTMR,BALTIMORE,Z2,US
ROUENN,ROUEN,Z2,FR
PUERMD,PUERTO MADRYN,Z3,AR
CAPETN,CAPE TOWN,Z2,ZA
KWANGY,KWANGYANG,Z3,KR
PMANFL,"PORT MANATEE, FL",Z2,US
LCHARL,"LAKE CHARLES, LA",Z3,US
COCHIN,COCHIN,Z3,IN
PIPAVV,PIPAVAV,Z3,IN
CHIWAN,CHIWAN/SHENZHEN,Z3,CN
ZHOUSH,ZHOUSHAN,Z3,CN
PRINCR,PRINCE RUPERT,Z3,CA
ENNORE,ENNORE,Z2,IN
HAZIRA,HAZIRA,Z3,IN
NIIHAM,NIIHAMA,Z3,JP
SANLOR,SAN LORENZO,Z3,AR
BATANG,BATANGAS,Z3,PH
BAHBLN,BAHIA BLANCA,Z3,AR
JUBAIL,JUBAIL,Z3,SA
HOCHIM,HO CHI MINH,Z2,VN
RESERV,RESERVE,Z2,US
ABUDHB,ABU DHABI,Z1,AE
YOSUOO,YOSU,Z3,KR
GUANGZ,GUANGZHOU,Z1,CN
BRINDI,BRINDISI,Z2,IT
MONTOI,MONTOIR,Z2,FR
RAVENN,RAVENNA,Z2,IT
HONGKG,HONG KONG,Z1,HK
GDANSK,GDANSK,Z2,PL
TIAXIN,TIANJIN XINGANG,Z2,CN
FOSMER,FOS-SUR-MER,Z2,FR
PASIRG,PASIR GUDANG,Z2,MY
CHONGM,CHONGMING/CHANGXING,Z3,CN
DUBAIY,DUBAI,Z1,AE
LIANYU,LIANYUNGANG,Z3,CN
TAICHU,TAICHUNG,Z2,TW
ITAGUA,ITAGUAÍ PT = SEPETIBA PT,Z3,BR
TAURAN,TAURANGA,Z3,NZ
WEIHAI,WEIHAI/LANSHAN,Z3,CN
ISKEND,ISKENDERUN,Z3,TR
LACORU,LA CORUNA,Z2,ES
HIROHA,HIROHATA,Z2,JP
BROWNT,"BROWNSVILLE, TX",Z2,US
WILHEL,WILHELMSHAVEN,Z2,DE
LONGVW,"LONGVIEW, WA",Z3,US
TERNEZ,TERNEUZEN,Z1,NL
BEDIBU,BEDI BUNDER,Z3,IN
KINUUR,KINUURA,Z3,JP
RIZHAO,RIZHAO,Z3,CN
MUUGAA,MUUGA,Z2,EE
ALIAGA,ALIAGA,Z2,TR
KOPERR,KOPER,Z2,SI
ROBERT,ROBERTS BANK,Z2,CA
LUOYUA,LUOYUAN/KEMEN,Z3,CN
BARCEL,BARCELONA,Z1,ES
CIGADI,CIGADING,Z3,ID
KARERE,KARADENIZ EREGLI,Z3,TR
NINGBO,NINGBO / BEILUN,Z2,CN
LONGBH,LONG BEACH,Z1,US
BORYEO,BORYEONG,Z3,KR
TAMPAA,TAMPA,Z2,US
DEKHIL,DEKHILA,Z2,EG
JINGTG,JINGTANG,Z3,CN
ELEUSI,ELEUSIS,Z1,GR
DAFENG,DAFENG/CHENJIAGANG,Z3,CN
IMBITU,IMBITUBA,Z3,BR
KAKOGA,KAKOGAWA,Z3,JP
PLOCES,PLOCE,Z3,HR
HAIPHO,HAI PHONG,Z3,VN
DALRYM,DALRYMPLE BAY / HAY POINT,Z3,AU
BREMEN,BREMEN,Z1,DE
DAMMAM,DAMMAM,Z3,SA
NEWPNS,"NEWPORT NEWS, VA",Z3,US
GOAAAA,GOA,Z3,IN
DARROW,DARROW,Z2,US
XIAMEN,XIAMEN,Z3,CN
GLADST,GLADSTONE,Z3,AU
TAIPEI,TAIPEI,Z2,TW
ONAHAM,ONAHAMA,Z3,JP
KOBEEE,KOBE,Z1,JP
TAKEHA,TAKEHARA,Z3,JP
PORTKB,PORT KEMBLA,Z3,AU
MALAGA,MALAGA,Z2,ES
SAMCHN,SAMCHONPO,Z3,KR
DONGHA,DONGHAE,Z3,KR
CONVEN,CONVENT,Z2,US
RASALK,RAS AL KHAIMAH,Z3,AE
CHIBAA,CHIBA,Z3,JP
GALLEE,GALLE,Z2,LK
TXCITY,TEXAS CITY,Z1,US
SHARJA,SHARJAH,Z1,AE
ONSANN,ONSAN,Z2,KR
CAOFEI,CAOFEIDIAN,Z3,CN
CORPUS,"CORPUS CHRISTI, TX",Z2,US
SIKKAA,SIKKA,Z3,IN
KASHIM,KASHIMA,Z3,JP
NEWYRK,NEW YORK,Z1,US
PARADI,PARADIP,Z3,IN
MACHON,MACHONG,Z3,CN
DAESAN,DAESAN (TAESAN),Z3,KR
MANGAL,MANGALORE,Z3,IN
NEWCSA,NEWCASTLE (AU),Z2,AU
DONGJI,DONGJIAKOU/LANQIAO,Z3,CN
BAYTWN,BAYTOWN,Z1,US
ANTALY,ANTALYA,Z3,TR
PRTART,"PORT ARTHUR, TX",Z2,US
SYDNEY,SYDNEY,Z2,AU
GALVES,"GALVESTON, TX",Z1,US
THAMES,THAMES HAVEN,Z2,GB
BUENOS,BUENOS AIRES,Z3,AR
GYTHIO,GYTHION LAKONIKOS GULF,Z3,GR
MONGST,MONGSTAD,Z2,NO
DELCTY,DELAWARE CITY,Z3,US
RIOJAN,RIO DE JANEIRO,Z2,BR
TAICNG,TAICANG,Z3,CN
DONGES,DONGES,Z2,FR
ZARATE,ZARATE,Z3,AR
BEAUMT,BEAUMONT,Z2,US
EVRGLD,PORT EVERGLADES,Z1,US
DALIAN,DALIAN (WITHIN PORT LIMIT),Z2,CN
YANTAI,YANTAI/SHIJIU,Z3,CN
HAMRIY,HAMRIYAH,Z1,AE
PIRPAV,PIRPAV,Z3,IN
YOKKAI,YOKKAICHI,Z3,JP
PYEONG,PYEONGTAEK,Z2,KR
ALBNYN,"ALBANY, NY",Z3,US
KOHSCI,KOH SICHANG,Z2,TH
LABUAN,LABUAN,Z3,MY
WALVIS,WALVIS BAY,Z2,NA
POINNR,POINTE NOIRE,Z3,CG
JOHORN,JOHOR,Z2,MY
ANPING,Anping,Z2,TW
MAILIA,MAI-LIAO,Z2,TW
TAMANO,TAMANO,Z3,JP
DANANG,DA NANG CITY,Z3,VN
BHAVNA,BHAVNAGAR,Z3,IN
MERAKJ,"MERAK, JAVA",Z3,ID
ZHAPUU,ZHAPU,Z3,CN
GENOAA,GENOA,Z1,IT
COLONZ,COLON FREE ZONE,Z3,PA
SHEKOU,SHEKOU,Z3,CN
JNPTPT,PORT JAWAHARLAL NEHRU,Z2,IN
JAKART,JAKARTA,Z2,ID
TPELEP,TANJONG PELEPAS,Z1,MY
CURACO,CURACAO,Z3,AN
TEKIRD,TEKIRDAG,Z3,TR
CANAKK,CANAKKALE,Z3,TR
TOENSB,TOENSBERG,Z2,NO
CHALMT,CHALMETTE,Z1,US
ARATUU,ARATU,Z3,BR
SANANT,SAN ANTONIO,Z3,CL
BRAKEE,BRAKE,Z2,DE
DANGJN,DANGJIN,Z3,KR
LOSANG,LOS ANGELES,Z1,US
YANGSH,YANGSHAN,Z1,CN
VALETT,VALETTA,Z2,MT
PULAAA,PULA,Z2,HR
VINASH,HYUNDAI VINASHIN SHIPYARD,Z3,VN
JACKSN,JACKSONVILLE,Z2,US
BRISBN,BRISBANE,Z2,AU
ZEEBRG,ZEEBRUGGE,Z2,BE
MOKPOO,MOKPO,Z3,KR
FREEPT,"FREEPORT, TX",Z2,US
PLAQUE,PLAQUEMINE,Z2,US
SANFRA,SAN FRANCISCO,Z2,US
STROSE,ST.ROSE,Z1,US
HULLLL,HULL,Z2,GB
LOMEEE,LOME,Z3,TG
GYARMH,GREAT YARMOUTH,Z3,GB
HUALIN,HUALIEN,Z2,TW
ANACRT,"ANACORTES, WA",Z3,US
TUZLAA,TUZLA,Z1,TR
CANVRL,PORT CANAVERAL,Z2,US
PCOMFT,"POINT COMFORT, TX",Z2,US
KARLSH,KARLSHAMN,Z3,SE
SUEZCL,SUEZ CANAL,Z1,EG
MELBRN,MELBOURNE,Z2,AU
SLAGTN,SLAGENTANGEN,Z3,NO
FERROL,EL FERROL,Z2,ES
MERSIN,MERSIN,Z3,TR
OSAKAA,OSAKA,Z2,JP
SENDAI,"SENDAI, SHIOGAMA",Z3,JP
DONALD,DONALDSONVILLE,Z2,US
MADREU,MADRE DEUS,Z3,BR
NAOSHI,NAOSHIMA,Z3,JP
CHARLS,"CHARLESTON, SC",Z3,US
CARTAG,CARTAGENA,Z2,ES
PIOMBI,PIOMBINO,Z2,IT
SANVIC,SAN VICENTE,Z3,CL
PIRAEU,"PIRAEUS, GREECE",Z1,GR
MARTNZ,MARTINEZ,Z2,US
LONGKO,LONGKOU,Z3,CN
GEISMR,GEISMAR,Z2,US
AVILES,AVILES,Z2,ES
TAIZHO,TAIZHOU,Z3,CN
IMABAR,IMABARI,Z3,JP
WPALMB,WEST PALM BEACH,Z3,US
AALBRG,AALBORG,Z2,DK
KALUND,KALUNDBORG,Z2,DK
OITAAA,OITA,Z3,JP
SCHIPH,SCHIPHOL,Z1,NL
VLISSI,VLISSINGEN,Z1,NL
SABPAS,Sabine Pass,Z3,US
BATNRG,BATON ROUGE,Z2,US
MANILA,MANILA,Z2,PH
LAVERA,LAVERA,Z2,FR
FORTAL,FORTALEZA,Z3,BR
FUZHOU,FUZHOU,Z3,CN
BOSTON,"BOSTON, MA",Z2,US
KAWASK,KAWASAKI,Z3,JP
ZONGUL,ZONGULDAK,Z3,TR
DONGGU,DONGGUAN PORT,Z3,CN
HADONG,HADONG,Z2,KR
PORTOR,"PORTLAND, OR",Z3,US
NEWHVN,"NEW HAVEN, CT",Z3,US
EVERET,"EVERETT, WA",Z3,US
PTALBT,PORT TALBOT,Z3,GB
SWINOU,SWINOUJSCIE,Z2,PL
LAPALL,LA PALLICE,Z2,FR
ADABIY,ADABIYA,Z1,EG
SPARPT,SPARROWS POINT SHIP YARD,Z3,US
HEREKE,HEREKE,Z2,TR
GOTHEN,GOTHENBURG,Z2,SE
SAVANN,SAVANNAH,Z3,US
POHANG,POHANG,Z3,KR
COPENH,COPENHAGEN,Z2,DK
MORRSP,"MORRISVILLE, PA",Z3,US
QUEBEC,PORT OF QUEBEC,Z3,CA
SUZAKI,SUZAKI,Z3,JP
DAVANT,DAVANT,Z2,US
DAMPIE,DAMPIER,Z3,AU
PHEDLD,PORT HEDLAND,Z2,AU
COQUIM,COQUIMBO,Z3,CL
QINZHO,QINZHOU,Z3,CN
BRUNSB,BRUNSBUTTEL,Z2,DE
XINSHA,XINSHA,Z3,CN
KALAMA,"KALAMA, WA",Z3,US
SONDUO,SON DUONG,Z3,VN
KATTUP,KATTUPALI,Z2,IN
DHAMRA,DHAMRA,Z3,IN
TUBARO,TUBARAO,Z3,BR
SETEEE,SETE,Z3,FR
CASTLL,CASTELLON DE LA PLANA,Z3,ES
SEVILL,SEVILLA,Z2,ES
SINESS,SINES,Z3,PT
SAOSEB,SAO SEBASTIAO,Z3,BR
ZADARR,ZADAR,Z3,HR
BRESTT,BREST,Z2,FR
GARYVL,GARYVILLE,Z2,US
SANDIE,SAN DIEGO,Z3,US
CHERRY,Cherry Point,Z3,US
MAASVL,MAASVLAKTE,Z1,NL
TARRAG,TARRAGONA,Z2,ES
SRIRAC,SRIRACHA,Z2,TH
LIVORN,LIVORNO,Z2,IT
LEHAVR,LE HAVRE,Z2,FR
NITERI,NITEROI,Z2,BR
MILFHN,MILFORD HAVEN,Z3,GB
MONTRE,MONTREAL,Z3,CA
JINGJI,JINGJIANG,Z3,CN
LASPEZ,LA SPEZIA,Z2,IT
AGIOIT,AGIOI THEODOROI,Z3,GR
GULFHN,GULFHAVN,Z2,DK
EMDENN,EMDEN,Z2,DE
TIMMSK,INTERNAL PORT - TIMM SLOVAKIA,Z3,SK
SANTAN,SANTANDER,Z2,ES
VENZIA,VENEZIA,Z2,IT
PERAMA,PERAMA,Z1,GR
FAWLEY,FAWLEY,Z2,GB
SJOAOB,São João da Barra,Z2,BR
IMARII,IMARI,Z3,JP
BREMRH,BREMERHAVEN,Z1,DE
WAKAYA,WAKAYAMA,Z3,JP
UBEEEE,UBE,Z3,JP
SAKAID,SAKAIDE,Z3,JP
NEDRLD,"NEDERLAND, TX",Z2,US
GEMLIK,GEMLIK,Z2,TR
MHOOKP,"MARCUS HOOK, PA",Z3,US
TSUNEI,TSUNEISHI,Z3,JP
KOJEEE,KOJE,Z2,KR
OSHIMA,OSHIMA,Z2,JP
PAULSB,"PAULSBORO, NJ",Z3,US
PEMBRK,PEMBROKE,Z3,GB
CHINHA,CHINHAE,Z2,KR
GEELNG,GEELONG,Z3,AU
PASCGU,"PASCAGOULA, MS",Z2,US
ADELAI,ADELAIDE,Z2,AU
BAHRIN,BAHRAIN,Z3,BH
PHILAD,PHILADELPHIA,Z2,US
ONOMIC,ONOMICHI,Z3,JP
DOHAAA,DOHA,Z2,QA
PALLEN,PORT ALLEN,Z2,US
SAVONA,SAVONA,Z1,IT
MIAMII,MIAMI,Z1,US
RICHMD,RICHMOND,Z2,US
BROFJO,BROFJORDEN,Z3,SE
NAGASK,NAGASAKI,Z3,JP
FRPBHS,FREEPORT - BAHAMAS,Z3,BM
TONGYE,TONGYEONG,Z2,KR
CADIZZ,CADIZ,Z2,ES
TALLIN,TALLINN,Z2,EE
TARANT,TARANTO,Z2,IT
UDDEVA,UDDEVALLA,Z3,SE
TRIEST,TRIESTE,Z2,IT
ANTFST,ANTOFAGASTA,Z3,CL
YANGZH,YANGZHOU,Z3,CN
SUBICB,SUBIC BAY,Z3,PH
SAGUNT,SAGUNTO,Z2,ES
TEMAAA,TEMA,Z3,GH
YANBUU,YANBU,Z3,SA
MATSUN,"MATSUSHIMA, NAGASAKI",Z3,JP
IZMITT,IZMIT,Z2,TR
IJMUID,IJMUIDEN,Z1,NL
CHANGS,CHANGSHU,Z3,CN
PRAIAM,PRAIA MOLE,Z3,BR
VALENC,VALENCIA,Z2,ES
PORTOC,PORTOCEL,Z3,BR
KUREEE,KURE,Z3,JP
GRETNA,GRETNA,Z1,US
KIMITS,KIMITSU,Z3,JP
STCHAR,St.Charles,Z3,US
SETUBL,SETUBAL,Z2,PT
MALACC,MALACCA,Z2,MY
AARHUS,AARHUS,Z2,DK
PNECHS,"PORT NECHES, TX",Z2,US
CEYHAN,CEYHAN,Z3,TR
PLISAS,POINT LISAS,Z3,TT
CHANGZ,CHANGZHOU,Z3,CN
TOKUYA,TOKUYAMA,Z3,JP
SCHEVE,SCHEVENINGEN,Z1,NL
BAYONX,BAYONNE,Z3,FR
MANZNP,MANZANILLO (PANAMA),Z3,PA
RASKHR,Ras Al-Khair,Z3,SA
HONGAI,HON GAI,Z3,VN
QUINTT,QUINTERO,Z3,CL
DILISK,DILISKELESI,Z2,TR
PONMDR,PONTA DA MADEIRA,Z3,BR
TUBANJ,"TUBAN, JV",Z3,ID
ZHANGZ,ZHANGZHOU,Z3,CN
SZCZEC,SZCZECIN,Z2,PL
TEESPT,TEESPORT,Z3,GB
FUKYAM,FUKUYAMA,Z3,JP
SILLAM,SILLAMAE,Z2,EE
MIZUSH,MIZUSHIMA,Z3,JP
ZHANJI,ZHANJIANG/SHANTOU,Z3,CN
NORCOO,NORCO,Z1,US
DUNEDN,DUNEDIN,Z3,NZ
KUNSAN,KUNSAN,Z3,KR
THRIVR,THREE RIVERS,Z3,CA
HUANGH,HUANGHUA,Z3,CN
SANJUA,SAN JUAN,Z3,PR
PORTAU,"PORTLAND, AU",Z3,AU
SOUDAB,SOUDA BAY,Z3,GR
LORIEN,LORIENT,Z3,FR
TOMAKO,TOMAKOMAI,Z3,JP
BUSNWP,BUSAN NEW PORT,Z1,KR
SIRACU,SIRACUSA,Z3,IT
BINTUL,BINTULU PORT,Z3,MY
BELEMM,BELEM,Z3,BR
ABBOTP,ABBOT POINT,Z3,AU
DAGENH,DAGENHAM,Z2,GB
NECOCH,NECOCHEA,Z3,AR
AUGSTA,AUGUSTA,Z2,IT
GIJONN,GIJON,Z2,ES
BURGAS,BURGAS,Z3,BG
CORONL,CORONEL,Z3,CL
WELLNG,WELLINGTON,Z3,NZ
MOIRAN,MO I RANA,Z3,NO
ELSEGN,El Segundo,Z3,US
NINGDE,NINGDE,Z3,CN
SURABY,"SURABAYA, JAVA",Z3,ID
CROCKT,CROCKETT,Z2,US
KURUSH,KURUSHIMA,Z3,JP
YARIMC,YARIMCA,Z2,TR
TACOMA,"TACOMA, WA",Z2,US
SALVDR,SALVADOR,Z3,BR
GOODHP,GOOD HOPE,Z1,US
BATAMM,BATAM,Z3,ID
WEIFNG,WEIFANG/PENGLAI,Z3,CN
DORDRT,DORDRECHT,Z1,NL
THESSA,THESSALONIKI,Z2,GR
BRUSSL,BRUSSELS,Z2,BE
STADEE,STADE,Z2,DE
SANNIC,SAN NICOLAS,Z3,AR
HANNAN,HANNAN (KISHIWADA),Z2,JP
KOMATU,KOMATSUJIMA,Z3,JP
MOERDK,MOERDIJK,Z1,NL
MURORN,MURORAN,Z3,JP
MUTSUR,MUTSURE (ANCH),Z3,JP
MATSUU,"MATSUURA, NAGASAKI",Z3,JP
TOBATA,TOBATA,Z3,JP
VIANAC,VIANA DO CASTELO,Z3,PT
TILBRY,TILBURY,Z2,GB
ROSARO,ROSARIO,Z3,AR
RAFNES,RAFNES,Z3,NO
JAIGAR,JAIGARH,Z3,IN
KABDUL,KING ABDULLAH,Z3,SA
PMARGH,PORTO MARGHERA,Z2,IT
MAGDAL,MAGDALLA,Z3,IN
NAGOYA,NAGOYA,Z3,JP
NHATRN,NHA TRANG,Z3,VN
ZHUHAI,ZHUHAI,Z3,CN
PWALCT,PORT WALCOTT,Z3,AU
PKHALD,PORT KHALID,Z1,AE
ISLEGR,ISLE OF GRAIN,Z2,GB
TUNAAA,TUNA,Z3,IN
CHAGUA,CHAGUARAMAS,Z3,TT
PAPIER,POINTE-A-PIERRE,Z3,TT
POSPAI,PORT OF SPAIN,Z3,TT
IZMIRR,IZMIR,Z2,TR
TUTUNC,TUTUNCIFTLIK,Z2,TR
PORTSM,"PORTSMOUTH, NH",Z3,US
WILMDE,"WILMINGTON, DE",Z2,US
PITTSB,PITTSBURG,Z2,US
OAKLND,OAKLAND,Z2,US
ANTONN,ANTONINA,Z3,BR
RIOGRD,RIO GRANDE  (DO SUL),Z3,BR
KARMOY,KARMOEY,Z2,NO
VARNAA,VARNA,Z2,BG
NANTES,NANTES,Z2,FR
MYRTLE,MYRTLE GROVE,Z2,US
BELFST,BELFAST,Z3,GB
AVEIRO,AVEIRO,Z3,PT
HEROEY,HEROEYA,Z3,NO
SAOLUI,SAO LUIS,Z3,BR
SANPED,SAN PEDRO (ARG),Z3,AR
MOREHC,"MOREHEAD CITY, NC",Z2,US
VANCWA,"VANCOUVER, WA",Z3,US
SUNNDL,SUNNDALSOERA,Z3,NO
GRAMCY,GRAMERCY,Z2,US
GAETAA,GAETA,Z3,IT
BAYONN,BAYONNE,Z1,US
SORELL,SOREL,Z3,CA
CIVITA,CIVITAVECCHIA,Z2,IT
BECANC,BECANCOUR,Z3,CA
LEIXOS,LEIXOES,Z3,PT
FREDRI,FREDERICIA,Z2,DK
WHYALL,WHYALLA,Z3,AU
BOTANY,BOTANY BAY,Z3,AU
ALBNYY,ALBANY,Z3,AU
FALMTH,FALMOUTH,Z3,GB
PDBOUC,PORT DE BOUC,Z2,FR
PJEROM,PORT JEROME,Z3,FR
BORDEA,BORDEAUX,Z3,FR
PORVOO,PORVOO/BORGAA,Z2,FI
TRANMR,TRANMERE,Z3,GB
RIJEKA,RIJEKA,Z2,HR
MACKAY,MACKAY,Z3,AU
PENANG,PENANG,Z3,MY
QIDONG,QIDONG,Z3,CN
DORTYL,DORTYOL,Z3,TR
KASADO,KASADO,Z3,JP
HOEYNG,HOEYANGER,Z3,NO
TONDAA,TONDA,Z3,JP
WILMCA,"WILMINGTON, CA",Z1,US
HAKATA,HAKATA,Z2,JP
VALPAR,VALPARAISO,Z2,CL
GULFPT,"GULFPORT, MS",Z2,US
NAPIER,NAPIER,Z3,NZ
AUKLND,AUCKLAND,Z2,NZ
KANDAP,KANDA,Z3,JP
NEWPLY,NEW PLYMOUTH,Z3,NZ
UMMSID,UMM SAID,Z3,QA
NAOETS,NAOETSU,Z3,JP
PHUMYY,PHU MY,Z2,VN
GERALT,GERALDTON,Z3,AU
SHIBUS,SHIBUSHI,Z3,JP
HOSOJI,HOSOJIMA,Z3,JP
LAEMCH,LAEM CHABANG,Z2,TH
TOWNVL,TOWNSVILLE,Z3,AU
MARSDN,MARSDEN,Z3,NZ
BANDIR,BANDIRMA,Z2,TR
KOCHII,KOCHI,Z3,JP
GRESIK,GRESIK,Z3,ID
CAMPAN,CAMPANA,Z3,AR
LYTTEL,LYTTELTON,Z3,NZ
TOKYOO,TOKYO,Z3,JP
NGHSON,NGHI SON,Z3,VN
LULEAA,LULEAA,Z3,SE
MUARAB,MUARA BERAU,Z3,ID
DUQMMM,DUQM,Z3,OM
TARAHN,TARAHAN,Z3,ID
