PK,Order No,Customer ID,Vessel Code,SR Code,Product Code,Port Code,Invoice Date,Sales (USD),QTY,COGS (USD),MC1 (USD)
1044,I30039733,5973370,447156,IND1,82337,ROTTRD,09-06-2023,-5037.83,-2,1905.27,-3132.56
1045,I30023778,5869490,476539,IND2,42872,ROTTRD,28-10-2020,-4860,-2,352.3,-4507.7
1046,I113430839,5776828,484298,IND2,24638,ROTTRD,23-01-2020,-4712,-4,2598,-2114
1047,B20053168,5040510,327227,BGD1,43634,SINGAP,31-12-2024,-4608,-800,0,-4608
1048,B20054947,5026940,356369,BGD1,78836,SINGAP,10-03-2025,-4582.12,-1,0,-4582.12
1049,I010067908,5869490,427367,IND2,59220,BALBOA,06-05-2024,-4522.08,-2,2036.06,-2486.02
1050,I010084140,5973370,456034,IND1,28585,SINGAP,19-09-2025,-4429.06,-4,0,-4429.06
1051,B20048549,5040510,327227,BGD1,48845,SINGAP,12-03-2025,-4256,-800,0,-4256
1052,B20038227,5026940,409046,BGD1,80870,JIANGZ,07-06-2023,-4191.02,-1,0,-4191.02
1053,I30043786,5949850,304898,IND1,17810,BALBOA,06-12-2023,-4054.16,-2,759.21,-3294.95
1054,I30045841,5949850,386995,IND1,30126,SINGAP,08-02-2024,-4038.48,-1200,4014.22,-24.26
1055,I30035006,5809176,356405,IND3,46986,ROTTRD,17-11-2022,-4016.82,-4,2183.88,-1832.94
1056,P60085572,5995321,380648,PAK1,80870,FUJAIR,06-10-2025,-3967.38,-1,1922.32,-2045.06
1057,P60086207,5995321,380648,PAK1,80870,FUJAIR,18-09-2025,-3967.38,-1,2087.88,-1879.5
1058,I30046631,5172968,471740,IND2,42872,FUJAIR,05-04-2024,-3722.4,-3,632.61,-3089.79
1059,I30054674,5920605,425207,IND3,78836,AMSTDM,19-03-2025,-3635.1,-1,0,-3635.1
1060,I30047612,5869490,315366,IND2,83920,SIKKAA,08-08-2025,-3617.6,-200,0,-3617.6
1061,I30050145,5949850,376516,IND1,76165,YOSUOO,20-11-2024,-3615.61,-975,945.6,-2670.01
1062,I30043367,5122255,323452,IND1,42872,ENNORE,08-11-2023,-3608,-2,0,-3608
1063,I114571636,5809176,377361,IND3,51457,SINGAP,04-08-2022,-3564,-12,0,-3564
1064,P60086634,5995321,380648,PAK1,60020,FUJAIR,18-09-2025,-3530.62,-250,1402.96,-2127.66
1065,I30056040,5869490,358637,IND2,83920,PIPAVV,09-07-2025,-3424.75,-200,0,-3424.75
1066,I30056854,5949850,345196,IND1,17810,ROTTRD,21-05-2025,-3406.15,-1,279.49,-3126.66
1067,I30041142,5809176,345490,IND3,42872,ANTWRP,02-08-2023,-3405.6,-1,220.72,-3184.88
1068,I30039187,5776517,406456,IND1,17810,HOUSTN,08-06-2023,-3358.08,-1,1635.67,-1722.41
1069,I30056506,5920605,473000,IND3,42872,WPALMB,05-05-2025,-3249.25,-1,1212.16,-2037.09
1070,P60086435,5995321,380648,PAK1,23863,FUJAIR,18-09-2025,-3244.94,-600,1566.44,-1678.5
1071,P60086634,5995321,380648,PAK1,89284,FUJAIR,18-09-2025,-3229.64,-250,188.76,-3040.88
1072,I010073403,5809176,413983,IND3,25972,SINGAP,25-09-2024,-3208.41,-2,0,-3208.41
1073,I30039521,5973370,447156,IND1,82337,ROTTRD,09-06-2023,-3169.3,-2,1905.27,-1264.03
1074,I114779805,5809176,471273,IND3,25972,ROTTRD,26-08-2022,-3114.21,-2,1593.81,-1520.4
1075,I30058271,5959655,346944,IND3,49235,DHAMRA,10-09-2025,-3111.88,-1,618.04,-2493.84
1076,B20035092,5026940,360631,BGD1,83920,SINGAP,12-01-2023,-3069.58,-200,0,-3069.58
1077,I30024566,5949850,468633,IND1,17810,AMSTDM,28-12-2020,-3043,-2,307.45,-2735.55
1078,I30060453,5973370,444794,IND1,86808,SINGAP,18-11-2025,-3004.39,-1,0,-3004.39
1079,I30043622,5776828,327192,IND2,53767,YOSUOO,31-10-2023,-2992,-5000,0,-2992
1080,B20048549,5040510,327227,BGD1,13849,SINGAP,12-03-2025,-2944,-1600,0,-2944
1081,B20053168,5040510,327227,BGD1,13849,SINGAP,31-12-2024,-2944,-1600,0,-2944
1082,I30036738,5869490,405759,IND2,45332,AMSTDM,23-02-2023,-2932.07,-16,1466.33,-1465.74
1083,P60037196,5981691,435820,PAK1,17810,FUJAIR,23-02-2023,-2886.4,-2,0,-2886.4
1084,I30051606,5869490,402292,IND2,17810,VILCON,20-09-2024,-2834.53,-2,1104.6,-1729.93
1085,P60039224,5981691,328770,PAK1,17810,JEBELA,08-06-2023,-2820.8,-2,0,-2820.8
1086,I30056040,5869490,358637,IND2,86808,PIPAVV,09-07-2025,-2817.85,-1,0,-2817.85
1087,P60037196,5981691,435820,PAK1,17810,FUJAIR,08-03-2023,-2775.21,-2,0,-2775.21
1088,I30057463,5122255,428093,IND1,58023,RASALK,21-08-2025,-2771.39,-6,0,-2771.39
1089,I30034664,5809176,341856,IND3,71373,TUBARO,09-11-2022,-2756.16,-2,0,-2756.16
1090,I30047908,5385734,392487,IND2,38239,VISAKH,10-05-2024,-2751.67,-16,0,-2751.67
1091,I30051002,5385734,319115,IND2,38239,VISAKH,29-10-2024,-2744.72,-16,0,-2744.72
1092,I30049950,5138829,466906,IND2,83509,SINGAP,02-08-2024,-2723.63,-1,0,-2723.63
1093,I30039098,5809176,411592,IND3,35108,SINGAP,07-11-2023,-2709.88,-2,0,-2709.88
1094,I30045019,5086242,318599,IND3,42872,CHONGM,28-02-2024,-2690.94,-2,0,-2690.94
1095,I30046286,5086242,327249,IND3,42872,SINGAP,16-04-2024,-2636.76,-2,0,-2636.76
1096,I30027650,5122255,330298,IND1,22621,VISAKH,14-06-2021,-2594.77,-1,575.18,-2019.59
1097,I30041507,5869490,398922,IND2,42872,HONGKG,15-09-2023,-2581.92,-2,0,-2581.92
1098,S520036810,5996715,358950,SLK1,42872,SINGAP,10-02-2023,-2569.6,-2,0,-2569.6
1099,I30057263,5172968,378406,IND2,42872,SINGAP,21-07-2025,-2569.6,-2,0,-2569.6
1100,I30035099,5809176,387913,IND3,63975,SINGAP,06-12-2022,-2540.7,-9,0,-2540.7
1101,P60038162,5981691,445530,PAK1,42872,SINGAP,04-04-2023,-2511.2,-2,0,-2511.2
1102,B20049406,5026940,495905,BGD1,76139,KANDLA,08-08-2024,-2511.17,-2,0,-2511.17
1103,P60085454,5995321,380648,PAK1,66304,FUJAIR,06-10-2025,-2493.63,-250,1217.14,-1276.49
1104,I30053744,5086242,377995,IND3,42872,SINGAP,07-02-2025,-2491.64,-2,0,-2491.64
1105,I30054450,5086242,327249,IND3,42872,SINGAP,11-03-2025,-2491.64,-2,0,-2491.64
1106,I30058372,5086242,302741,IND3,42872,SINGAP,26-08-2025,-2491.64,-2,0,-2491.64
1107,I30051631,5776517,394914,IND1,76139,SINGAP,30-10-2024,-2482.68,-3,0,-2482.68
1108,I30049753,5882690,320624,IND3,36601,ROTTRD,25-07-2024,-2478.57,-1200,780.05,-1698.52
1109,B20038227,5026940,409046,BGD1,60819,JIANGZ,07-06-2023,-2472.19,-5,0,-2472.19
1110,I010081897,5973370,385252,IND1,66510,SINGAP,15-07-2025,-2419.73,-12,1307.7,-1112.03
1111,P60085850,5995321,380648,PAK1,48761,FUJAIR,03-10-2025,-2415.66,-325,804.15,-1611.51
1112,I30034131,5869490,354383,IND2,88212,JACKSN,23-08-2022,-2381.23,-200,721.88,-1659.35
1113,I30034107,5869490,455880,IND2,88150,VLISSI,15-09-2022,-2370.47,-1,482.62,-1887.85
1114,I30050009,5227157,307205,IND2,81860,SINGAP,24-07-2024,-2358.4,-2,0,-2358.4
1115,I30035505,5776828,327192,IND2,20541,SINGAP,05-01-2023,-2336.4,-1,0,-2336.4
1116,I30035505,5776828,327192,IND2,20541,SINGAP,24-05-2023,-2336.4,-1,0,-2336.4
1117,I30034268,5949850,499803,IND1,17810,SINGAP,23-08-2022,-2318.8,-2,562.41,-1756.39
1118,I30034098,5869490,477297,IND2,42872,SINGAP,05-09-2022,-2312.64,-2,0,-2312.64
1119,I30059862,5949850,300539,IND1,17810,SINGAP,14-10-2025,-2305.47,-2,0,-2305.47
1120,I30047459,5227157,307205,IND2,81860,SINGAP,17-04-2024,-2304.8,-2,0,-2304.8
1121,I30022469,5949850,392540,IND1,42872,ANTWRP,10-07-2020,-2295,-1,0,-2295
1122,I30058380,5973370,467488,IND1,49235,SINGAP,01-08-2025,-2292.29,-1,0,-2292.29
1123,I30036683,5122255,335133,IND1,71373,KHORFK,10-01-2023,-2281.6,-2,572.64,-1708.96
1124,I30059299,5869490,387863,IND2,86808,SINGAP,29-09-2025,-2252.29,-1,0,-2252.29
1125,I30047387,5776517,451077,IND1,45548,SINGAP,19-04-2024,-2251.74,-60,0,-2251.74
1126,I30058400,5869490,312797,IND2,17810,SINGAP,05-08-2025,-2249.98,-2,0,-2249.98
1127,I30052977,5086242,302741,IND3,42872,SINGAP,29-11-2024,-2242.48,-2,0,-2242.48
1128,I30034131,5869490,354383,IND2,83920,JACKSN,23-08-2022,-2231.8,-200,711.77,-1520.03
1129,I30051606,5869490,402292,IND2,58319,VILCON,20-09-2024,-2227.14,-1,291.58,-1935.56
1130,P60084100,5995321,380648,PAK1,86808,FUJAIR,17-09-2025,-2219.15,-1,646.45,-1572.7
1131,B20038227,5026940,409046,BGD1,86808,JIANGZ,07-06-2023,-2205.16,-1,0,-2205.16
1132,B20049406,5026940,495905,BGD1,56633,KANDLA,08-08-2024,-2180.43,-400,0,-2180.43
1133,I30033721,5138829,323905,IND2,67119,MUMBAI,04-08-2022,-2165.83,-6,348.3,-1817.53
1134,I30050032,5385734,319115,IND2,45548,VISAKH,19-07-2024,-2153.85,-36,0,-2153.85
1135,I30043550,5809176,407499,IND3,45332,ROTTRD,31-10-2023,-2120.77,-11,924.65,-1196.12
1136,I30054674,5920605,425207,IND3,82337,AMSTDM,19-03-2025,-2119.02,-1,0,-2119.02
1137,I30057011,5869490,365106,IND2,83509,SINGAP,06-06-2025,-2110.02,-1,0,-2110.02
1138,I30033103,5949850,432771,IND1,59155,SINGAP,23-09-2022,-2070.06,-6,807.47,-1262.59
1139,B20038227,5026940,409046,BGD1,42872,JIANGZ,07-06-2023,-2056.2,-2,0,-2056.2
1140,I30045156,5920605,431756,IND3,59212,CONSTZ,04-01-2024,-2036,-1,0,-2036
1141,S10201119,5882690,375648,IND3,41470,SINGAP,16-02-2023,-2024.51,-10,0,-2024.51
1142,I30020586,5147705,390453,IND1,42872,SINGAP,23-03-2020,-2020,-2,318.19,-1701.81
1143,I30056300,5776517,419396,IND1,42872,SINGAP,08-05-2025,-2001.37,-2,0,-2001.37
1144,P60085101,5995321,380648,PAK1,45548,FUJAIR,07-10-2025,-1972.07,-60,727.1,-1244.97
1145,I30053970,5138829,470104,IND2,74107,SINGAP,19-06-2025,-1968.15,-650,0,-1968.15
1146,I30044784,5949850,495461,IND1,60819,FUJAIR,22-12-2023,-1966.47,-4,348.93,-1617.54
1147,I30034504,5122255,387520,IND1,51457,SINGAP,19-10-2022,-1966.1,-8,0,-1966.1
1148,I30057231,5172968,378406,IND2,33529,SINGAP,13-06-2025,-1960.49,-1,0,-1960.49
1149,P60079697,5995321,380648,PAK1,78045,FUJAIR,16-09-2025,-1946.7,-1000,885.47,-1061.23
1150,I30046021,5122255,483458,IND1,17220,DUBAIY,21-02-2024,-1943.52,-7,947.08,-996.44
1151,I30019798,5766763,433061,IND2,49235,MINASQ,16-04-2020,-1936,-1,0,-1936
1152,I30054020,5869490,371334,IND2,49235,SANFRA,31-03-2025,-1932.9,-1,739.12,-1193.78
1153,B20038227,5026940,409046,BGD1,78045,JIANGZ,07-06-2023,-1932.49,-1000,0,-1932.49
1154,I30033923,5869490,363533,IND2,45332,SINGAP,29-07-2022,-1915.84,-10,0,-1915.84
1155,I30033798,5869490,468428,IND2,40190,SINGAP,28-07-2022,-1894.88,-400,0,-1894.88
1156,P60086941,5995321,380648,PAK1,38239,FUJAIR,23-09-2025,-1894.33,-20,728.01,-1166.32
1157,I30029984,5122255,382519,IND1,76468,FUJAIR,07-10-2021,-1893.6,-9,820.05,-1073.55
1158,B20038227,5026940,409046,BGD1,83920,JIANGZ,07-06-2023,-1876.49,-150,0,-1876.49
1159,I30030748,5086242,363467,IND3,36709,SINGAP,28-12-2021,-1871.64,-300,0,-1871.64
1160,P60084601,5995321,380648,PAK1,55264,FUJAIR,16-09-2025,-1855.8,-250,473.28,-1382.52
1161,I30048688,5776517,458182,IND1,33529,SINGAP,05-06-2024,-1854.64,-1,0,-1854.64
1162,I30060186,5499455,385409,IND2,33529,SINGAP,09-12-2025,-1829.8,-1,0,-1829.8
1163,I30053852,5138829,416374,IND2,76139,SINGAP,13-01-2025,-1824.4,-2,0,-1824.4
1164,I30037241,5973370,354695,IND1,31817,SINGAP,08-05-2023,-1809.51,-1,0,-1809.51
1165,I30054900,5086242,302741,IND3,59212,SINGAP,12-03-2025,-1809.33,-2,0,-1809.33
1166,I30026145,5949850,493490,IND1,17220,SCHIPH,04-02-2021,-1793.92,-8,1062.58,-731.34
1167,I010077782,5798892,467688,IND2,28506,SINGAP,24-01-2025,-1779.98,-10,987.93,-792.05
1168,I30048274,5053347,472566,IND1,42872,VISAKH,10-05-2024,-1763,-1,0,-1763
1169,I30052445,5869490,455704,IND2,49235,SINGAP,06-11-2024,-1761.04,-1,0,-1761.04
1170,I30031232,5949850,434168,IND1,17810,CORPUS,03-02-2022,-1750.32,-1,1310.08,-440.24
1171,I30034666,5189310,464834,IND1,42872,ENNORE,18-10-2022,-1730,-1,0,-1730
1172,I30034110,5776517,494411,IND1,49235,SINGAP,12-08-2022,-1729.18,-1,584.17,-1145.01
1173,I010088016,5122255,467106,IND1,28506,SIKKAA,13-11-2025,-1707.94,-6,0,-1707.94
1174,I30058065,5973370,456034,IND1,16564,SINGAP,17-09-2025,-1697.82,-1,0,-1697.82
1175,I30055636,5766763,480437,IND2,36601,SINGAP,24-04-2025,-1696.93,-800,449.67,-1247.26
1176,B20038227,5026940,409046,BGD1,49235,JIANGZ,07-06-2023,-1680.5,-1,0,-1680.5
1177,I30030633,5869490,410803,IND2,36601,PALLEN,01-12-2021,-1674,-900,1310.66,-363.34
1178,P60084830,5995321,380648,PAK1,34924,FUJAIR,16-09-2025,-1656.44,-175,724.34,-932.1
1179,I30232437,5949850,434587,IND1,49235,AMSTDM,15-07-2024,-1651.33,-1,699.92,-951.41
1180,I30033117,5122255,403083,IND1,51457,SINGAP,10-06-2022,-1625.39,-6,0,-1625.39
1181,I30024566,5949850,468633,IND1,51778,AMSTDM,21-10-2020,-1620,-1,293.11,-1326.89
1182,B20047636,5026940,441596,BGD1,85659,SINGAP,07-05-2024,-1611,-5,0,-1611
1183,I30039127,5809176,309106,IND3,15047,SAOSEB,10-05-2023,-1610.74,-250,677.64,-933.1
1184,I114858302,5809176,493921,IND3,25583,RIOJAN,08-09-2022,-1600.11,-1,341.72,-1258.39
1185,I30052461,5882690,364441,IND3,83509,SINGAP,12-11-2024,-1581.38,-1,0,-1581.38
1186,I30039954,5869490,344402,IND2,16564,SINGAP,20-06-2023,-1580.8,-1,803.11,-777.69
1187,B20047639,5026940,441596,BGD1,83920,SINGAP,07-05-2024,-1566.18,-100,0,-1566.18
1188,B20033869,5026940,366438,BGD1,83920,SINGAP,16-08-2022,-1563.6,-100,0,-1563.6
1189,I30052784,5872600,489419,IND2,65003,HOUSTN,26-11-2024,-1561.54,-6,196.58,-1364.96
1190,I30058557,5949850,477600,IND1,21065,SINGAP,08-08-2025,-1551.79,-1,0,-1551.79
1191,I30050534,5920605,485213,IND3,17810,BILBAO,28-08-2024,-1547.28,-1,0,-1547.28
1192,I30033721,5138829,323905,IND2,79269,MUMBAI,04-08-2022,-1533.52,-6,164.67,-1368.85
1193,S10185761,5882690,317384,IND3,76139,PARANA,30-11-2022,-1515.36,-1,349.85,-1165.51
1194,P60086942,5995321,380648,PAK1,66304,FUJAIR,23-09-2025,-1496.18,-150,733.09,-763.09
1195,I30039606,5776517,481355,IND1,24711,SINGAP,11-07-2023,-1454.97,-2,0,-1454.97
1196,I30031392,5086242,313844,IND3,24069,SINGAP,03-02-2022,-1450,-1,0,-1450
1197,P60083779,5995321,380648,PAK1,34924,FUJAIR,17-09-2025,-1419.81,-150,635.37,-784.44
1198,B20054947,5026940,356369,BGD1,44737,SINGAP,10-03-2025,-1417.33,-1,0,-1417.33
1199,B20056846,5026940,478015,BGD1,42872,SINGAP,04-06-2025,-1416.2,-1,0,-1416.2
1200,P60086631,5995321,380648,PAK1,60020,FUJAIR,25-09-2025,-1412.25,-100,561.18,-851.07
1201,P60084407,5995321,380648,PAK1,60020,FUJAIR,17-09-2025,-1412.25,-100,589.36,-822.89
1202,I30031396,5086242,321056,IND3,83920,SINGAP,22-02-2022,-1407.24,-100,0,-1407.24
1203,I30040300,5385734,392487,IND2,34924,VISAKH,11-08-2023,-1403.99,-75,0,-1403.99
1204,I30047425,5776517,483715,IND1,48761,SINGAP,23-04-2024,-1400.19,-200,0,-1400.19
1205,P60084190,5995321,380648,PAK1,40190,FUJAIR,17-09-2025,-1346.25,-250,726.06,-620.19
1206,I30025853,5776517,313977,IND1,24638,HOUSTN,13-01-2021,-1344,-1,636.14,-707.86
1207,P60085152,5995321,380648,PAK1,21065,FUJAIR,08-10-2025,-1338.22,-1,465.04,-873.18
1208,I30056490,5973370,354695,IND1,42872,SINGAP,13-06-2025,-1331.52,-1,0,-1331.52
1209,I30048462,5086242,377995,IND3,17810,SINGAP,31-05-2024,-1322.61,-1,0,-1322.61
1210,I30059507,5086242,377995,IND3,17810,SINGAP,02-10-2025,-1322.61,-1,0,-1322.61
1211,I30053552,5086242,363467,IND3,17810,SINGAP,10-02-2025,-1322.61,-1,0,-1322.61
1212,I30048495,5882690,416784,IND3,66797,AMSTDM,24-09-2024,-1317,-1,0,-1317
1213,P60086934,5995321,380648,PAK1,83920,FUJAIR,02-10-2025,-1315.02,-100,359.71,-955.31
1214,B20038227,5026940,409046,BGD1,88212,JIANGZ,07-06-2023,-1311.13,-100,0,-1311.13
1215,B20033887,5026940,366438,BGD1,60819,SINGAP,16-08-2022,-1305.6,-2,0,-1305.6
1216,I30059117,5949850,390222,IND1,70044,SINGAP,18-09-2025,-1300,-1,0,-1300
1217,B20053404,5026940,386857,BGD1,83920,SINGAP,10-01-2025,-1299.93,-75,0,-1299.93
1218,P60079697,5995321,380648,PAK1,14907,FUJAIR,16-09-2025,-1287.42,-500,442.44,-844.98
1219,I30044878,5055019,341668,IND1,42872,SINGAP,06-02-2024,-1284.8,-1,0,-1284.8
1220,I30060453,5973370,444794,IND1,42872,SINGAP,18-11-2025,-1284.8,-1,0,-1284.8
1221,P60086431,5995321,380648,PAK1,33444,FUJAIR,18-09-2025,-1281.17,-2,593.93,-687.24
1222,I30021361,5920605,329420,IND3,42872,LOSANG,15-04-2020,-1280,-1,397.65,-882.35
1223,I30048343,5869490,347100,IND2,42872,SINGAP,31-05-2024,-1274.58,-1,0,-1274.58
1224,I30035600,5809176,357800,IND3,60819,SINGAP,08-12-2022,-1266.03,-2,105.25,-1160.78
1225,I30031641,5053347,496964,IND1,36709,SINGAP,12-04-2022,-1265.6,-200,0,-1265.6
1226,I30054868,5552441,450340,IND1,35961,BALBOA,07-03-2025,-1263.5,-2,0,-1263.5
1227,B20038227,5026940,409046,BGD1,32583,JIANGZ,07-06-2023,-1259.86,-3,0,-1259.86
1228,I30048462,5086242,377995,IND3,42872,SINGAP,31-05-2024,-1245.82,-1,0,-1245.82
1229,I30059507,5086242,377995,IND3,42872,SINGAP,02-10-2025,-1245.82,-1,0,-1245.82
1230,I30053796,5086242,481287,IND3,42872,SINGAP,19-03-2025,-1245.82,-1,0,-1245.82
1231,I30058047,5086242,327249,IND3,42872,SINGAP,23-07-2025,-1245.82,-1,0,-1245.82
1232,I30053796,5086242,481287,IND3,42872,SINGAP,07-02-2025,-1245.82,-1,0,-1245.82
1233,I30050920,5086242,327249,IND3,42872,SINGAP,27-09-2024,-1245.82,-1,0,-1245.82
1234,I30053742,5086242,318599,IND3,42872,SINGAP,10-02-2025,-1245.82,-1,0,-1245.82
1235,I30052130,5138829,449225,IND2,67119,ENNORE,12-02-2025,-1240.08,-3,131.69,-1108.39
1236,P60085251,5995321,380648,PAK1,46946,FUJAIR,06-10-2025,-1237.67,-350,299.06,-938.61
1237,I30038235,5869490,371334,IND2,17810,SINGAP,02-05-2023,-1227.6,-1,0,-1227.6
1238,I30032265,5973370,347177,IND1,52593,SINGAP,09-05-2022,-1214.32,-3,0,-1214.32
1239,B20058002,5026940,327386,BGD1,83920,SINGAP,16-07-2025,-1208.88,-75,0,-1208.88
1240,S10189168,5882690,417109,IND3,73485,MOERDK,30-09-2022,-1205.78,-2,0,-1205.78
1241,I30054202,5920605,405520,IND3,36601,LAVERA,12-02-2025,-1195.48,-400,252.54,-942.94
1242,I30050032,5385734,319115,IND2,28208,VISAKH,19-07-2024,-1184.25,-144,0,-1184.25
1243,P60045312,5986859,430571,PAK1,46269,DUBAIY,04-04-2024,-1183.73,-14,333.65,-850.08
1244,P60083642,5995321,380648,PAK1,34924,FUJAIR,17-09-2025,-1183.17,-125,529.48,-653.69
1245,I30026116,5949850,340604,IND1,73014,CANVRL,16-05-2021,-1183,-1,0,-1183
1246,I30057678,5776828,457801,IND2,26440,HOUSTN,01-10-2025,-1182.77,-1,0,-1182.77
1247,I30031395,5086242,321056,IND3,88212,SINGAP,22-02-2022,-1166.2,-100,0,-1166.2
1248,I30054900,5086242,302741,IND3,42872,SINGAP,12-03-2025,-1158.61,-1,0,-1158.61
1249,I30050670,5776828,377967,IND2,82743,FORTAL,26-08-2024,-1158.41,-20,439.74,-718.67
1250,I30059765,5949850,349101,IND1,17810,SINGAP,17-10-2025,-1152.73,-1,0,-1152.73
1251,I30043788,5949850,304898,IND1,83357,BALBOA,29-12-2023,-1150.88,-1,0,-1150.88
1252,P60084135,5995321,380648,PAK1,15047,FUJAIR,17-09-2025,-1150.39,-300,446.91,-703.48
1253,I30031402,5086242,321056,IND3,17810,SINGAP,22-02-2022,-1150,-1,0,-1150
1254,I30060942,5882690,320624,IND3,76139,ROTTRD,24-11-2025,-1148.85,-2,861.96,-286.89
1255,P60084158,5995321,380648,PAK1,67193,FUJAIR,17-09-2025,-1146.37,-75,327.01,-819.36
1256,P60087111,5995321,380648,PAK1,68642,FUJAIR,17-09-2025,-1133.5,-100,203.95,-929.55
1257,I30058488,5973370,369533,IND1,48641,ZHOUSH,25-07-2025,-1130.57,-10,0,-1130.57
1258,I30058367,5086242,302741,IND3,36709,SINGAP,26-08-2025,-1126.79,-150,0,-1126.79
1259,I30059896,5869490,402292,IND2,17810,SINGAP,05-11-2025,-1124.99,-1,0,-1124.99
1260,B20028949,5026940,478015,BGD1,83920,SINGAP,24-08-2021,-1124.4,-75,-57.55,-1181.95
