Product Code,Product Name,Product Category ID,Product Subcategory ID
31683,"Tuaff 5 56mm 330m Indigo 3x1,",PC3,75
50611,Rope Protect 60 65mm 3m Blue,PC3,75
51457,Tuaff 5 Tail 65mm 11m Indigo,PC3,75
17220,Tuaff 5 Tail 73mm 11m Indigo,PC3,75
76892,Brigaton 30mm 330m Plati,PC3,75
10271,Rope Protect 30 35mm 3m Blue,PC3,75
82337,Soluble Test Kit,PC4,35
46128,Rope Protect 60 55mm 3m Blue,PC3,75
39136,Rope Protect 40 45mm 3m Blue,PC3,75
76468,Tuaff 5 Tail 64mm 11m Indigo,PC3,75
52589,Zemo Treat,PC4,25
11428,Tuaff 5 63mm 330m Indigo,PC3,75
59604,Brigaton 36mm 330m Plati,PC3,75
45332,Tuaff 5 Tail 60mm 11m Indigo,PC3,75
30847,Regulator 210 Ac,PC1,65
60920,Regulator 210 Ox,PC1,65
17766,Flashback Arrestor Ac 40,PC1,65
85233,Tuaff 5 50mm 330m Indigo,PC3,75
70376,Condensate Treatment,PC4,25
24638,Tuaff 6 53mm 330m Indigo,PC3,75
23995,Tuaff 7 64mm 330m Indigo,PC3,75
37234,Rope Protect 50 55mm 3m Blue,PC3,75
32546,Brigaton  S75 [31mm],PC3,75
28506,Rope Protect W135 3m,PC3,75
62667,Double Lance,PC1,45
41498,"Tuaff 5 40mm 330m Indigo 3x1,",PC3,75
80386,Ultrasonic Cleaner,PC1,45
15393,Cryogen‑502,PC1,70
87220,Cryogen‑503,PC1,70
41470,Rope Protect W76 3m,PC3,75
82400,Closing Valve Ox,PC1,65
15470,Closing Valve Ac,PC1,65
78832,Long Lance,PC2,60
66510,Rope Protect W150 3m,PC3,75
81239,Argon V 50 Filling,PC1,65
84706,Flashback Arrestor Ox 40,PC1,65
47480,Engine Fuel Enhancer,PC4,35
35108,"Tuaff 5 54mm 330m Indigo 3x1,",PC3,75
89330,Sea Water Test Kit,PC4,35
44087,Ox Unit Connector,PC1,65
84941,Ac Unit Connector,PC1,65
66682,Ultrasonic Cleaner go,PC1,45
51568,Dosing Unit,PC4,30
59239,Evaporator Gravity Dosing Unit,PC4,30
84512,Alpha Pump Btb,PC4,30
16564,Water Oil Combo Test kit,PC4,35
22365,"Tuaff 5 65mm 330m Indigo 3x1,",PC3,75
85697,Cryogen‑504,PC1,70
34827,Tuaff 5 50mm 430m Indigo,PC3,75
25972,Tuaff 13  F55 [55mm] 330m,PC3,75
59480,Ecoclean Pack,PC1,40
29725,Viscosity Measurement Kit,PC4,35
61186,Oil Sampler 5 Inch,PC4,35
44294,Cooling Water Dosing Unit,PC4,30
36838,Tuaff 13  F50 [67mm] 330m,PC3,75
49450,Tuaff 13  F60 [57mm] 330m,PC3,75
61480,Tuaff 13  Tail Ft110 [76m,PC3,75
62342,Rope Protect W90 3m,PC3,75
59220,Tuaff 13  F70 [63mm] 330m,PC3,75
47859,Tuaff 13  Tail Ft70 [63mm,PC3,75
58783,Reagent Kit 25 Tests,PC4,35
83509,Water Oil Test Kit Plus,PC4,35
64763,Water Oil Test Kit Reagent 2,PC4,35
34019,Brigaton  B60 [37mm],PC3,75
58023,Tuaff 13  Tail Ft90 [71mm,PC3,75
23718,Pure Nitrogen 99%,PC1,65
26871,Tuaff 13  F65 [59mm] 330m,PC3,75
72856,Tuaff 13  F130 [51mm] 330,PC3,75
89894,Ph Increaser,PC4,30
27131,Tuaff 13  F53 [53mm] 330m,PC3,75
51841,Water Oil Test Kit Reagent 3,PC4,35
41224,Acetic Acid Solution,PC4,25
36319,Portable Soot Power,PC4,35
84950,Nts Test Kit,PC4,35
66934,High Pressure Max Pro,PC1,45
66304,Ecoguard,PC4,25
60020,Ph Scale Control,PC4,30
62742,Bisulphite Liquid 4.0,PC4,30
51332,Cryogen‑505,PC1,70
27155,Cryogen‑506,PC1,70
19522,Microbes Testing Kit,PC4,35
73014,Regulator N2 Low Pressure,PC1,65
45875,Cryogen‑507,PC1,70
62657,Cryogen‑508,PC1,70
45302,Oil Sampler 6 Inch,PC4,35
74413,Regulator N2 High Pressure,PC1,65
20480,Acid Safety Clean,PC1,20
10066,Water Oil Test Kit Replacment pack,PC4,35
22810,Aquaguard Unit,PC1,45
11849,Cartridge Replacement Pack,PC1,45
46963,Max Soft Surface wash,PC1,55
58533,Max Basin And Toilet Bow,PC1,55
74676,Microwave and Grill 5 pcs,PC1,55
89744,Max Dishwash Liquid Manual,PC1,55
31426,Cartridge Replacement Pack 4 Pcs,PC1,45
29889,Pure Propane,PC1,65
56775,Max Floor & Hard Surface 5 ltr,PC1,55
42887,Cryogen‑509,PC1,70
45088,Foaming chemicals,PC1,20
60128,Cryogen‑510,PC1,70
60429,Cryogen‑CX01,PC1,70
37723,Cryogen‑CX02,PC1,70
36021,Cryogen‑CX03,PC1,70
85275,Phoron Squeezer,PC1,45
72536,Glenberg Eg Thruster Lub,PC4,80
72734,Filter Cooling Water,PC4,30
47253,Turntable D90,PC3,75
12065,Acera Splicing Kit,PC3,75
56811,Spare Kit Dosing Pump,PC4,30
74148,Acera Dagama  S75 [31mm/36m,PC3,75
52767,Injector Multipurpose,PC4,35
28988,Oxygen O 1 Filling,PC1,65
24325,De Ionised Water,PC4,25
56674,Boiler Water Dosing Unit,PC4,30
52848,Sea Water Dosing Cube,PC4,30
17207,Cryogen‑CX04,PC1,70
78477,Pure IsobutaneI,PC1,65
16894,Cryogen‑CX05,PC1,70
28013,Propane Mix,PC1,65
36123,Cryogen‑CX06,PC1,70
49872,Cryogen‑CX07,PC1,70
27978,Boiler Test Kit,PC4,25
23050,Safe Chemical Handling Kit,PC1,45
27848,"Tuaff 5 44mm 330m Indigo 3x1,",PC3,75
36910,Dosing Tube 7mtr,PC4,30
76894,Dosing Unit 2,PC4,30
12126,Flowmeter Evaporator Dosing Unit,PC4,30
73107,Chlorine Water Tablets 3 bottles,PC4,30
89284,Mild Acid Cleaner,PC4,30
88312,Cryogen‑CX08,PC1,70
51778,Combo Replacement pack,PC4,35
89486,Regulator 10 N2 Medium Pressure,PC1,65
75458,Seawater Pro 310 Ltr,PC2,50
59810,"Tuaff 5 45mm 330m Indigo 3x1,",PC3,75
55250,Neutral Buffer Meter,PC4,25
45264,Sulphite Test Kit,PC4,25
24222,Sampler tube pack 5,PC4,35
85160,Pure Nitrogen 90%,PC1,65
88150,Cryogen‑CX09,PC1,70
33709,Hydrochloric Acid 50%,PC4,30
11299,Line Alkaline Cleaner,PC4,30
74789,Injection Valve,PC4,30
81398,Spare Kit Dosing Pump 2,PC4,30
52497,Rope Protect W100 3m,PC3,75
46986,Tuaff 13  F35 [45mm] 330m,PC3,75
64473,Drinking Water Cooler,PC1,45
76586,Acid Buffer Solution,PC4,25
14486,Alkali Buffer Tablets,PC4,25
44271,Cryogen‑CX10,PC1,70
18578,Cooling agent,PC1,70
59187,Cooling liquid,PC1,70
20541,Cooling maintance,PC1,70
46622,Corrosion Fliter,PC4,30
37632,Corrosion Filter Pro,PC4,30
74265,Methane 50 Filling,PC1,65
26440,Nts Replacement pack,PC4,35
66694,Corrosion Cartridge,PC4,30
31998,Spanner Set 3 Pcs,PC4,30
56865,Lubrication Set 6 Pcs,PC4,30
80411,Ring Filter,PC4,30
53767,Liquid Urea,PC5,85
69782,Isobutane 20 Filling,PC1,65
54053,Cooling Water Lab Analysis,PC4,30
24474,Cryogen 504 accessories,PC1,70
56741,Kitchen Combo Pack,PC1,55
72669,Anti Microbial Liquid,PC1,55
48124,Handwash Full Pack,PC1,55
75495,Hand Clean Dispenser 2,PC1,45
84748,Ballastguard Sps Solid,PC4,30
13811,Liquid Spill Kit Plastic Box,PC1,45
31049,Window & Mirror Cleaner,PC1,55
73516,Butane 40%,PC1,65
50261,Argon G 20 Filling,PC1,65
49115,Brigaton  S55 [34mm],PC3,75
87538,Cryogen‑CX10 accessories,PC1,70
53908,Tuaff 13  Tail Ft130 [53m,PC3,75
61380,Acera Dagama  S55 [34mm/35m,PC3,75
82495,High Pressure Extreme Rotator Nozzle,PC1,45
10580,High Pressure Low Rotator Nozzle,PC1,45
22007,High Pressure Extreme Safety Valve,PC1,45
59436,High Pressure Premium,PC1,45
61683,Corrosion Cartridge 6 pcs,PC4,30
70044,PPE Kit Premium,PC1,45
25583,Corrofree Replacement Kit,PC4,35
49603,Cryogen‑CX07 accessories,PC1,70
12221,Tuaff 13  F110 [77mm] 330,PC3,75
12462,Gloves,PC1,45
32845,Leak Detection Spray,PC1,65
37096,Glenberg Eg Azimuth Thruster,PC4,80
59155,Tuaff 5 Tail 76mm 11m Indigo,PC3,75
42544,Klüberbio Eg Rotater 200 Ltr,PC4,80
48463,Strength Test,PC3,75
27825,Tuaff 13  F30 [40mm] 330m,PC3,75
35829,Cryogen‑CX04 accessories,PC1,70
67253,Cryogen‑Alpha 2,PC1,70
17739,Cryogen‑Beta 3,PC1,70
63391,Nts Test Kit Plus,PC4,35
22855,Acetylene A 10 Filling,PC1,65
88770,Zymoclean Btr,PC1,40
46409,Dosing Tank,PC4,30
65712,Handwash Refill Pack,PC1,55
55995,Oil Sampler 10 Inch,PC4,35
20398,Sample Bottle 40 pack,PC4,35
24468,Sodium Meta Bisulphite,PC4,30
69624,Tar 410 Ltr,PC2,50
19302,Phosphate Photometer,PC4,25
79045,Ammonia Photometer,PC4,25
20671,Cryogen‑Gamma 3 gen,PC1,70
42616,Maxidirect Test Cells5 Pcs,PC4,25
70155,Sample Tube 20 Pieces,PC4,35
47830,Sodium Thiosulphate Liquid 20%,PC4,30
23093,Butane 20%,PC1,65
53306,Alcohol Wipes,PC4,25
50095,Nts Replacement Cell,PC4,35
27400,Cryogen‑Delta 4 gen,PC1,70
47626,Klüberbio Lg Thruster Valve,PC4,80
49361,Tuaff 13  Tail Ft160 [93m,PC3,75
31847,Cryogen‑Epsilon 3,PC1,70
55440,Regulator Span Gas,PC1,65
62389,Sodium Bicarbonate 300,PC4,30
39320,Sample Bottles 100,PC4,35
19017,Tuaff 13  F35 [36mm] 330m,PC3,75
85559,Spray Gun,PC1,45
55099,Liquid Nitrogen (LN₂) 45,PC1,70
22978,Liquid Oxygen (LOX) 60,PC1,70
70769,Tuaff 13  F100 [73mm] 330,PC3,75
36432,Hydrochloric Acid 10%,PC4,30
74619,Root Clean,PC1,20
59246,Rope Jacket Repair Kit,PC3,75
12147,Water Oil Test kit 90 Tests,PC4,35
10631,Viscosity Meter,PC4,35
28585,Tuaff 13  F33 [43mm] 330m,PC3,75
23640,Handcleaner Lim,PC1,55
50682,Liquid Argon (LAr) 60,PC1,70
31987,Liquid Helium (LHe) 45,PC1,70
70215,Slip Clean Plus,PC2,60
33436,"Tuaff 5 73mm 330m Indigo 3x1,",PC3,75
57842,Cryogen 504 equipment,PC1,70
27508,Cryogen 505 equipment,PC1,70
62770,Cryogen 506 equipment,PC1,70
15059,Cryogen 507 equipment,PC1,70
43741,Butane 40 Filling,PC1,65
76898,Cryogen 508 equipment,PC1,70
54808,Cooling liquid Mild,PC1,70
61102,Ethylene Glycol Filling,PC1,65
66797,Cooling liquid hard,PC1,70
80503,Anti Microbial Powder,PC1,55
28748,Laundry Conditioner,PC1,55
82994,AC cooler,PC1,70
31473,Chemical cooler,PC1,70
83289,Temperature Maintainer,PC1,70
82856,Cryogen‑Epsilon 5,PC1,70
41282,Water Oil Reagent Kit Tests + Cleaner,PC4,35
42223,Ethane 10 Filling,PC1,65
19771,Laundry Sheets 50 Pc,PC1,55
78843,Water Sample Kit,PC4,30
73306,Carbon Dioxide E 10 Filling,PC1,65
30145,Potable Water Dosing Unit Max,PC4,30
27544,Cryogen 300 old,PC1,70
49102,Liquid Hand Soap 12,PC1,55
39749,Berthing Package,PC1,55
19325,Carbon Dioxide E 30 Filling,PC1,65
60342,Tuaff 13  F40 [45mm] 330m,PC3,75
46668,PPE Kit & Hand Disinfectant pack,PC1,55
71233,Leak Detection Spray Plus,PC1,65
39034,Brigaton 33mm 330m Plati,PC3,75
34541,Brigaton  S60 [37mm],PC3,75
60559,"Tuaff 5 60mm 350m Indigo 3x1,",PC3,75
10294,High Pressure Cleaner Extreme,PC1,45
10981,Sample Cooler,PC4,30
81983,Valve Assembly,PC4,30
24215,Laundry Tablets White 10 Pcs,PC1,55
64813,Injection Tube,PC4,30
89930,Laundry Tablets for Delicate Fabrics,PC1,55
43166,Suction Assy,PC4,30
43458,Cooling Water Dosing Max,PC4,30
34689,Water Regulation Kit,PC1,45
50268,Heavy Duty Hose Medium,PC1,45
69571,High Pressure Spray Handle Extreme,PC1,45
16869,High Pressure Drain Cleaner,PC1,45
46794,La Surfactant Cleaner,PC4,30
